tweet;replies_count;retweets_count;likes_count
Siapapun yg juara di final tadi malam adalah tim yg memang layak untuk juara dari segala aspek, menjadi final paling ideal dan paling kompetitif diantara 5 pagelaran terakhir final piala dunia . Selamat untuk Argentina, dan Prancis bermain sangat luar biasa.;0;0;0
Njir puas banget tadi malam tidur, dan terjadi kembali final piala dunia ketiduran lagi 😅;2;0;0
WKWKWK ALIG SERU BANGET LIAT TWITTER SETALAH FINAL PIALA DUNIA;0;0;0
Balik ke tahun 2016 jika benar-benar Lionel Messi memutuskan pensiun dari team Argentina saat itu,  Mungkin final piala dunia 2022, tak akan pernah menjadi final terbaik sepanjang masa;0;0;0
Ada yg lebih menegangkan dari adu penalti final piala dunia semalen,pagi ini presentasi dan gw belum siap :v;1;0;1
Bos Prancis Merasa Perlu Berdiskusi Tentang Keputusan Wasit di Final Piala Dunia 2022  https://t.co/24E8MISkF3;0;0;0
Pagi,gue tadi tidur cuma 2 jam setelah nonton final piala dunia 2022  https://t.co/RAnNm1VXg8;1;0;7
Speechless si sama final terseru semalem. Sekali lagi selamat buat Argentina yg bawa pulang trofi piala dunia 2022 dan selamat juga buat Mbappe gacor si lu jadi top Soccer. Keknya the next goat deh lu dan calon pildun 4 tahun kedepan;0;0;0
Final piala dunia sudah selesai dengan adu pinalti.. mari selanjutnya menyaksikan sidang S4M60..  sama sama menegangkan...;0;0;0
Final Piala Dunia 2022 bikin deg-degan banget lah.  #EmtekWorldCup2022 #BolacomWorldCup2022 #PialaDunia2022 #PialaDunia   https://t.co/c9ltzzrd92;0;0;0
Penyerang Prancis, Olivier Giroud, menunjukkan rasa frustrasinya usai diganti di final Piala Dunia 2022. #kumparanBOLA  https://t.co/nuHOaXVFq6;0;0;3
Final Piala Dunia Terbaik, Kemenangan Argentina Penuh Drama  #FIFAWorldCup2022 #FIFAWorldCupFinal #FIFA #FIFAワールドカップ #Messi𓃵 #Messi𓃵day #Messi #Argentina #ArgentinaVsFrance    https://t.co/tNsRfDPDZm;0;0;1
SERU! Hasil Akhir Argentina vs Prancis Final Piala Dunia, Drama Adu Penalti Antarkan Sang Juara  #ArgentinaVsFrance #Argentina #FIFAWorldCup2022  @Argentina @FIFAWorldCup  https://t.co/hQWtCg4z79;0;1;1
"Hahahahahahaaa... penghibur final piala dunia jatuh kepada @YonoBakrie  Liatin story &amp; feeds IG Yono Gerrrrrrr polllll 🤣🤣🤣";0;0;0
The best final piala dunia🇦🇷vs🇫🇷;1;0;0
Euphoria Final Piala Dunia.. jago yang menang pokok e haha @ Ndaengan Gedongkiwo  https://t.co/tnRzvZMqi5;0;0;0
selamat pagi buat orang2 yg kmrn tidur dan ga nonton final piala dunia, tak kei info wae nek argentina menang.;1;0;0
Rapat ini itu dengan fifa percuma kalau jadwal  Liga 1 Indonesia masih dikendalikan Indosiar Masih ada jadwal pertandingan jam 8 malam, terus kemarin sengaja cuma 1 pertandingan jam 4 sore doang karena abis magrib closingan final piala dunia;1;0;0
Hasil Final Piala Dunia 2022 Argentina vs Prancis: 3-3 (4-2p), Messi Resmi GOAT Sejati #FIFAWorldCup2022 #FIFAWorldCupFinal #FIFA #FIFAワールドカップ #Messi𓃵 #Messi𓃵day #Messi #Argentina #ArgentinaVsFrance   https://t.co/fMZA6ZOm8O;0;0;0
Belanda kalah di final Piala Dunia kedua berturut-turut, dua kali dari tuan rumah, setelah kalah dari Jerman Barat pada 1974 .;0;0;3
Apa cuma gw yg dari awal sampe final semalem gapernah nonton piala dunia😂 tau tau liat Messi cium piala juara bae😅;0;0;0
Final Piala Dunia FIFA 1978 adalah pertandingan sepak bola yang dimainkan untuk menentukan pemenang Piala Dunia FIFA 1978 . Pertandingan tersebut diperebutkan oleh tuan rumah Argentina dan Belanda , di stadion terbesar yang digunakan dalam turnamen tersebut dan di Argentina,  https://t.co/fNTAjj8IbV;1;1;25
@The_RedsIndo era Messi - Ronaldo sudah selesai. Kini siapa yg bisa saingi Mbape, usia 23 tahun sudah dapat piala dunia, dua kali final Piala Dunia, TopSkor Piala dunia, hattrick final piala dunia, di klub cuma belom dapat UCL aja.;1;0;2
Emiliano Martinez bisa dibilang salah satu pahlawan keberhasilan Timnas Argentina menjuarai Piala Dunia Qatar 2022. Hal itu tak lepas dari performa apiknya di babak adu penalti pada partai final melawan Prancis.  https://t.co/szsNpICin2;0;1;3
Argentina Tumbangkan Prancis di Final Piala Dunia Lewat Adu Penalti  https://t.co/g3dwokgJ8R;0;0;0
🚨BREAKING : Kantor kepresidenan Ukraina mengecam FIFA karena menolak permintaan Presiden Zelensky untuk memutar video 1 menit 9 detik yg berisi pesan perdamaian di layar besar saat final Piala Dunia.   FIFA menganggap pesan dari video tersebut terlalu politis.  Sumber : @CNN  https://t.co/iQIMFURD6f;0;0;0
@theflankerID Jagoin perancis, tapi puas nonton nya laga final terbagus selama piala dunia;0;0;2
@IndonesiaGaruda sy penerbangan Cgk-Tte (19/12), penerbangan Pukul 01.00, karena final piala dunia sejak Pulul 20.00 (18/12) sy sudah di Bandara check in dan nonton piala dunia. Sesampai di Tte sy dikonfirmasi barang sy terlambat naik pesawat. Kok bisa? S;1;0;0
Drama-drama mulai dari babak grup sampai babak final juga seru-seru banget. Bisa diperdebatkan banget sih kalo ini edisi Piala Dunia terbaik!  https://t.co/I5Hdjrf62K;1;0;0
Apakah cm aku yg turu gasik ga nntn final piala dunia;0;0;0
